title,genres,clean_title
Toy Story (1995),Adventure Animation Children Comedy Fantasy,Toy Story
Jumanji (1995),Adventure Children Fantasy,Jumanji
Grumpier Old Men (1995),Comedy Romance,Grumpier Old Men
Waiting to Exhale (1995),Comedy Drama Romance,Waiting to Exhale
Father of the Bride Part II (1995),Comedy,Father of the Bride Part II
Heat (1995),Action Crime Thriller,Heat
Sabrina (1995),Comedy Romance,Sabrina
Tom and Huck (1995),Adventure Children,Tom and Huck
Sudden Death (1995),Action,Sudden Death
GoldenEye (1995),Action Adventure Thriller,GoldenEye
"American President, The (1995)",Comedy Drama Romance,"American President, The"
Dracula: Dead and Loving It (1995),Comedy Horror,Dracula: Dead and Loving It
Balto (1995),Adventure Animation Children,Balto
Nixon (1995),Drama,Nixon
Cutthroat Island (1995),Action Adventure Romance,Cutthroat Island
Casino (1995),Crime Drama,Casino
Sense and Sensibility (1995),Drama Romance,Sense and Sensibility
Four Rooms (1995),Comedy,Four Rooms
Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls
Money Train (1995),Action Comedy Crime Drama Thriller,Money Train
Get Shorty (1995),Comedy Crime Thriller,Get Shorty
Copycat (1995),Crime Drama Horror Mystery Thriller,Copycat
Assassins (1995),Action Crime Thriller,Assassins
Powder (1995),Drama Sci-Fi,Powder
Leaving Las Vegas (1995),Drama Romance,Leaving Las Vegas
Othello (1995),Drama,Othello
Now and Then (1995),Children Drama,Now and Then
Persuasion (1995),Drama Romance,Persuasion
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure Drama Fantasy Mystery Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime Drama,Shanghai Triad (Yao a yao yao dao waipo qiao)
Dangerous Minds (1995),Drama,Dangerous Minds
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller,Twelve Monkeys (a.k.a. 12 Monkeys)
Babe (1995),Children Drama,Babe
Dead Man Walking (1995),Crime Drama,Dead Man Walking
It Takes Two (1995),Children Comedy,It Takes Two
Clueless (1995),Comedy Romance,Clueless
"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country"
Richard III (1995),Drama War,Richard III
Dead Presidents (1995),Action Crime Drama,Dead Presidents
Restoration (1995),Drama,Restoration
Mortal Kombat (1995),Action Adventure Fantasy,Mortal Kombat
To Die For (1995),Comedy Drama Thriller,To Die For
How to Make an American Quilt (1995),Drama Romance,How to Make an American Quilt
Seven (a.k.a. Se7en) (1995),Mystery Thriller,Seven (a.k.a. Se7en)
Pocahontas (1995),Animation Children Drama Musical Romance,Pocahontas
When Night Is Falling (1995),Drama Romance,When Night Is Falling
"Usual Suspects, The (1995)",Crime Mystery Thriller,"Usual Suspects, The"
Mighty Aphrodite (1995),Comedy Drama Romance,Mighty Aphrodite
Lamerica (1994),Adventure Drama,Lamerica
"Big Green, The (1995)",Children Comedy,"Big Green, The"
Georgia (1995),Drama,Georgia
Home for the Holidays (1995),Drama,Home for the Holidays
"Postman, The (Postino, Il) (1994)",Comedy Drama Romance,"Postman, The (Postino, Il)"
"Indian in the Cupboard, The (1995)",Adventure Children Fantasy,"Indian in the Cupboard, The"
Eye for an Eye (1996),Drama Thriller,Eye for an Eye
Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
Two if by Sea (1996),Comedy Romance,Two if by Sea
Bio-Dome (1996),Comedy,Bio-Dome
Lawnmower Man 2: Beyond Cyberspace (1996),Action Sci-Fi Thriller,Lawnmower Man 2: Beyond Cyberspace
French Twist (Gazon maudit) (1995),Comedy Romance,French Twist (Gazon maudit)
Friday (1995),Comedy,Friday
From Dusk Till Dawn (1996),Action Comedy Horror Thriller,From Dusk Till Dawn
Fair Game (1995),Action,Fair Game
Kicking and Screaming (1995),Comedy Drama,Kicking and Screaming
"Misérables, Les (1995)",Drama War,"Misérables, Les"
Bed of Roses (1996),Drama Romance,Bed of Roses
Big Bully (1996),Comedy Drama,Big Bully
Screamers (1995),Action Sci-Fi Thriller,Screamers
Nico Icon (1995),Documentary,Nico Icon
"Crossing Guard, The (1995)",Action Crime Drama Thriller,"Crossing Guard, The"
"Juror, The (1996)",Drama Thriller,"Juror, The"
"White Balloon, The (Badkonake sefid) (1995)",Children Drama,"White Balloon, The (Badkonake sefid)"
Things to Do in Denver When You're Dead (1995),Crime Drama Romance,Things to Do in Denver When You're Dead
Antonia's Line (Antonia) (1995),Comedy Drama,Antonia's Line (Antonia)
Once Upon a Time... When We Were Colored (1995),Drama Romance,Once Upon a Time... When We Were Colored
Angels and Insects (1995),Drama Romance,Angels and Insects
White Squall (1996),Action Adventure Drama,White Squall
Dunston Checks In (1996),Children Comedy,Dunston Checks In
Black Sheep (1996),Comedy,Black Sheep
Nick of Time (1995),Action Thriller,Nick of Time
Mary Reilly (1996),Drama Horror Thriller,Mary Reilly
Vampire in Brooklyn (1995),Comedy Horror Romance,Vampire in Brooklyn
Beautiful Girls (1996),Comedy Drama Romance,Beautiful Girls
Broken Arrow (1996),Action Adventure Thriller,Broken Arrow
In the Bleak Midwinter (1995),Comedy Drama,In the Bleak Midwinter
"Hate (Haine, La) (1995)",Crime Drama,"Hate (Haine, La)"
Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam
City Hall (1996),Drama Thriller,City Hall
Bottle Rocket (1996),Adventure Comedy Crime Romance,Bottle Rocket
Mr. Wrong (1996),Comedy,Mr. Wrong
Unforgettable (1996),Mystery Sci-Fi Thriller,Unforgettable
Happy Gilmore (1996),Comedy,Happy Gilmore
"Bridges of Madison County, The (1995)",Drama Romance,"Bridges of Madison County, The"
Nobody Loves Me (Keiner liebt mich) (1994),Comedy Drama,Nobody Loves Me (Keiner liebt mich)
Muppet Treasure Island (1996),Adventure Children Comedy Musical,Muppet Treasure Island
Catwalk (1996),Documentary,Catwalk
Braveheart (1995),Action Drama War,Braveheart
Taxi Driver (1976),Crime Drama Thriller,Taxi Driver
Rumble in the Bronx (Hont faan kui) (1995),Action Adventure Comedy Crime,Rumble in the Bronx (Hont faan kui)
Before and After (1996),Drama Mystery,Before and After
Anne Frank Remembered (1995),Documentary,Anne Frank Remembered
"Young Poisoner's Handbook, The (1995)",Crime Drama,"Young Poisoner's Handbook, The"
If Lucy Fell (1996),Comedy Romance,If Lucy Fell
"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little"
"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The"
Boomerang (1992),Comedy Romance,Boomerang
Chungking Express (Chung Hing sam lam) (1994),Drama Mystery Romance,Chungking Express (Chung Hing sam lam)
Flirting With Disaster (1996),Comedy,Flirting With Disaster
"NeverEnding Story III, The (1994)",Adventure Children Fantasy,"NeverEnding Story III, The"
Jupiter's Wife (1994),Documentary,Jupiter's Wife
Pie in the Sky (1996),Comedy Romance,Pie in the Sky
Jade (1995),Thriller,Jade
Down Periscope (1996),Comedy,Down Periscope
Man of the Year (1995),Documentary,Man of the Year
Up Close and Personal (1996),Drama Romance,Up Close and Personal
"Birdcage, The (1996)",Comedy,"Birdcage, The"
"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The"
Bad Boys (1995),Action Comedy Crime Drama Thriller,Bad Boys
"Amazing Panda Adventure, The (1995)",Adventure Children,"Amazing Panda Adventure, The"
"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The"
"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An"
Amateur (1994),Crime Drama Thriller,Amateur
Apollo 13 (1995),Adventure Drama IMAX,Apollo 13
Rob Roy (1995),Action Drama Romance War,Rob Roy
"Addiction, The (1995)",Drama Horror,"Addiction, The"
Batman Forever (1995),Action Adventure Comedy Crime,Batman Forever
Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour)
Beyond Rangoon (1995),Adventure Drama War,Beyond Rangoon
Blue in the Face (1995),Comedy Drama,Blue in the Face
Canadian Bacon (1995),Comedy War,Canadian Bacon
Casper (1995),Adventure Children,Casper
Clockers (1995),Crime Drama Mystery,Clockers
Congo (1995),Action Adventure Mystery Sci-Fi,Congo
Crimson Tide (1995),Drama Thriller War,Crimson Tide
Crumb (1994),Documentary,Crumb
Desperado (1995),Action Romance Western,Desperado
Devil in a Blue Dress (1995),Crime Film-Noir Mystery Thriller,Devil in a Blue Dress
Die Hard: With a Vengeance (1995),Action Crime Thriller,Die Hard: With a Vengeance
"Doom Generation, The (1995)",Comedy Crime Drama,"Doom Generation, The"
First Knight (1995),Action Drama Romance,First Knight
Free Willy 2: The Adventure Home (1995),Adventure Children Drama,Free Willy 2: The Adventure Home
Hackers (1995),Action Adventure Crime Thriller,Hackers
Jeffrey (1995),Comedy Drama,Jeffrey
Johnny Mnemonic (1995),Action Sci-Fi Thriller,Johnny Mnemonic
Judge Dredd (1995),Action Crime Sci-Fi,Judge Dredd
Jury Duty (1995),Comedy,Jury Duty
Kids (1995),Drama,Kids
Living in Oblivion (1995),Comedy,Living in Oblivion
Lord of Illusions (1995),Horror,Lord of Illusions
Love & Human Remains (1993),Comedy Drama,Love & Human Remains
Mad Love (1995),Drama Romance,Mad Love
Mallrats (1995),Comedy Romance,Mallrats
Mighty Morphin Power Rangers: The Movie (1995),Action Children,Mighty Morphin Power Rangers: The Movie
Mute Witness (1994),Comedy Horror Thriller,Mute Witness
Nadja (1994),Drama,Nadja
"Net, The (1995)",Action Crime Thriller,"Net, The"
Nine Months (1995),Comedy Romance,Nine Months
Party Girl (1995),Comedy,Party Girl
"Prophecy, The (1995)",Fantasy Horror Mystery,"Prophecy, The"
Reckless (1995),Comedy Fantasy,Reckless
Safe (1995),Thriller,Safe
"Scarlet Letter, The (1995)",Drama Romance,"Scarlet Letter, The"
Showgirls (1995),Drama,Showgirls
Smoke (1995),Comedy Drama,Smoke
Something to Talk About (1995),Comedy Drama Romance,Something to Talk About
Species (1995),Horror Sci-Fi,Species
Strange Days (1995),Action Crime Drama Mystery Sci-Fi Thriller,Strange Days
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama Musical Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
Three Wishes (1995),Drama Fantasy,Three Wishes
Total Eclipse (1995),Drama Romance,Total Eclipse
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar"
Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory
Unstrung Heroes (1995),Comedy Drama,Unstrung Heroes
Unzipped (1995),Documentary,Unzipped
"Walk in the Clouds, A (1995)",Drama Romance,"Walk in the Clouds, A"
Waterworld (1995),Action Adventure Sci-Fi,Waterworld
White Man's Burden (1995),Drama,White Man's Burden
Wild Bill (1995),Western,Wild Bill
"Browning Version, The (1994)",Drama,"Browning Version, The"
Bushwhacked (1995),Adventure Comedy Crime Mystery,Bushwhacked
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt by the Sun (Utomlyonnye solntsem)
Before the Rain (Pred dozhdot) (1994),Drama War,Before the Rain (Pred dozhdot)
Before Sunrise (1995),Drama Romance,Before Sunrise
Billy Madison (1995),Comedy,Billy Madison
"Babysitter, The (1995)",Drama Thriller,"Babysitter, The"
Boys on the Side (1995),Comedy Drama,Boys on the Side
"Cure, The (1995)",Drama,"Cure, The"
Castle Freak (1995),Horror,Castle Freak
Circle of Friends (1995),Drama Romance,Circle of Friends
Clerks (1994),Comedy,Clerks
Don Juan DeMarco (1995),Comedy Drama Romance,Don Juan DeMarco
Disclosure (1994),Drama Thriller,Disclosure
Drop Zone (1994),Action Thriller,Drop Zone
Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio
Death and the Maiden (1994),Drama Thriller,Death and the Maiden
Dolores Claiborne (1995),Drama Thriller,Dolores Claiborne
Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy,Dumb & Dumber (Dumb and Dumber)
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy Drama Romance,Eat Drink Man Woman (Yin shi nan nu)
Exotica (1994),Drama,Exotica
Exit to Eden (1994),Comedy,Exit to Eden
Ed Wood (1994),Comedy Drama,Ed Wood
French Kiss (1995),Action Comedy Romance,French Kiss
Forget Paris (1995),Comedy Romance,Forget Paris
Far From Home: The Adventures of Yellow Dog (1995),Adventure Children,Far From Home: The Adventures of Yellow Dog
"Goofy Movie, A (1995)",Animation Children Comedy Romance,"Goofy Movie, A"
Hideaway (1995),Thriller,Hideaway
Fluke (1995),Children Drama,Fluke
Farinelli: il castrato (1994),Drama Musical,Farinelli: il castrato
Gordy (1995),Children Comedy Fantasy,Gordy
Hoop Dreams (1994),Documentary,Hoop Dreams
Heavenly Creatures (1994),Crime Drama,Heavenly Creatures
Houseguest (1994),Comedy,Houseguest
Immortal Beloved (1994),Drama Romance,Immortal Beloved
Heavyweights (Heavy Weights) (1995),Children Comedy,Heavyweights (Heavy Weights)
"Hunted, The (1995)",Action,"Hunted, The"
I.Q. (1994),Comedy Romance,I.Q.
Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror,Interview with the Vampire: The Vampire Chronicles
Jefferson in Paris (1995),Drama,Jefferson in Paris
"Jerky Boys, The (1995)",Comedy,"Jerky Boys, The"
Junior (1994),Comedy Sci-Fi,Junior
Just Cause (1995),Mystery Thriller,Just Cause
"Kid in King Arthur's Court, A (1995)",Adventure Children Comedy Fantasy Romance,"Kid in King Arthur's Court, A"
Kiss of Death (1995),Crime Drama Thriller,Kiss of Death
Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi,Star Wars: Episode IV - A New Hope
Little Women (1994),Drama,Little Women
"Little Princess, A (1995)",Children Drama,"Little Princess, A"
Ladybird Ladybird (1994),Drama,Ladybird Ladybird
Like Water for Chocolate (Como agua para chocolate) (1992),Drama Fantasy Romance,Like Water for Chocolate (Como agua para chocolate)
Legends of the Fall (1994),Drama Romance War Western,Legends of the Fall
Major Payne (1995),Comedy,Major Payne
My Crazy Life (Mi vida loca) (1993),Drama,My Crazy Life (Mi vida loca)
Love Affair (1994),Drama Romance,Love Affair
Losing Isaiah (1995),Drama,Losing Isaiah
"Madness of King George, The (1994)",Comedy Drama,"Madness of King George, The"
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama Horror Sci-Fi,Mary Shelley's Frankenstein (Frankenstein)
Man of the House (1995),Comedy,Man of the House
Mixed Nuts (1994),Comedy,Mixed Nuts
Milk Money (1994),Comedy Romance,Milk Money
